maquina,maquina_en,maquina_ch,tipo,tipo_en,tipo_ch,modelo,modelo_en,modelo_ch,area_trabalho,area_trabalho_en,area_trabalho_ch,eixo_z,eixo_z_en,eixo_z_ch,cor,cor_en,cor_ch,o_que_ela_faz,o_que_ela_faz_en,o_que_ela_faz_ch,voltagem,voltagem_en,voltagem_ch,ncm,nome_da_classificacao,caixa_lateral_e_base,opcionais,imagem
Peças,,??,Exaustor,,??,Exaustor 750w 60HZ,,?? 750W 60Hz,Área de Corte 60x40cm,,,,,??,verde,,??,Serve pra retirar fumaça.,,????????,220V,,220?,8414.59.90,,PapelÃ£o,,
CNC Laser	,,?????,Co²,,Co²,RJ 6040S,,RJ6040S,Área de Corte 60x40cm,,????60X40cm,Com Elevador,,??,Azul e Branca,,??,"Corte e Gravação de MDF, Acrí­lico e Tecidos",,????????????????,220v,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS	",Madeira,,
CNC Laser,,æ¿€å…‰é›•åˆ»æœº,Co²,,Co²,RJ 1390S,,RI1390S,Área de Corte 130x90cm	,,æ¡Œé¢å°ºå¯¸130X90cm,Com Elevador,,å‡é™,Azul e Branca,,è“ç™½,"Corte e Gravação de MDF, Acrí­lico e Tecidos	",,ç”¨äºŽåˆ‡å‰²é›•åˆ»å¯†åº¦æ¿ï¼Œäºšå…‹åŠ›å’Œå¸ƒæ–™,220v,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS	",Madeira,,
CNC Laser,,?????,Co²,,Co²,RJ 1290P,,RJ1290P,Área de Corte 120x90cm	,,????120X90cm,Sem Elevador,,???,Azul e Branca,,??,"Corte e Gravação de MDF, Acrí­lico e Tecidos	",,????????????????,220v,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS	",Madeira,,
CNC Laser,,激光雕刻机,Co²,,Co²,RJ 1390P,,RJ1390P,Área de Corte 130x90cm,,桌面尺寸130X90cm,Sem Elevador,,无升降,Azul e Branca,,蓝白,"Corte e Gravação de MDF, Acrílico e Tecidos",,用于切割雕刻密度板，亚克力和布料,220v,,220V,8456.11.19,"REATORES NUCLEARES, CALDEIRAS, MÁQUINAS, APARELHOS E INSTRUMENTOS MECÂNICOS, E SUAS PARTES/MÁQUINASFERRAMENTAS QUE TRABALHEM POR ELIMINAÇÃO DE QUALQUER MATÉRIA, QUE OPEREM POR LASER OU POR OUTRO FEIXE DE LUZ OU DE FÓTONS, POR ULTRASSOM, POR ELETROEROSÃO, POR PROCESSOS ELETROQUÍMICOS, POR FEIXES DE ELÉTRONS, POR FEIXES IÔNICOS OU POR JATO DE PL/QUE OPEREM POR LASER/OUTRAS	",Madeira,,
CNC Router,,雕刻机,Fresadora CNC,,雕刻刀切割,RJ 2030,,RJ2030,Área de Corte 200x300cm,,桌面尺寸200X300cm,Motor de 5.5KW,,主轴功率5.5KW,Azul e Branca,,蓝白,"Corte e Gravação de MDF, Acrílico e metais leves	",,切割雕刻密度板，亚克力和薄铁板,380v,,380V,8465.92.11,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Máquinas ferramentas (incluídas as máquinas para pregar, grampear, colar ou reunir por qualquer outro modo) para trabalhar madeira, cortiça, osso, borracha endurecida, plásticos duros ou matérias duras semelhantes - Outras: - Máquinas para desbastar ou aplainar; máquinas para fresar ou moldurar - De comando numérico - Fresadoras",Não Possuí caixa,,
Peças,,配件,Driver para Motor de Passo,,驱动器,3ND583,,3ND583,Driver com comando numérico,,调整步进电机细分,,,,Preto,,黑色,"Comanda a movimentação do motor de passo, via X, Y e Z",,驱动步进电机方向和速度,36v,,36v, 8542.31.90,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Circuitos integrados eletrônicos - Circuitos integrados eletrônicos: - Processadores e controladores, mesmo combinados com memórias, conversores, circuitos lógicos, amplificadores, circuitos temporizadores e de sincronização, ou outros circuitos - Outros",Papelão,,
Peças,,配件, Motor Nema 57 1.8°,,步进电机1.8度,Motor Nema 57 X - 6 Fios,,6线电机,37w,,37W,6 Fios,,6线,Preto,,黑色,"Movimentação do X, Y e Z da Máquina Laser",,带动各轴运动,24v,,24V,8501.10.11,"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios - Motores e geradores, elétricos, exceto os grupos eletrogêneos - Motores de potência não superior a 37,5W - De corrente contínua - De passo inferior ou igual a 1,8°",Isopor,,
Peças,,配件,Refrigerador,,制冷机,Chiller S&A CW-3000,,特域CW3000,Trabalha de 15-35°,,采用室温制冷,Capacidade do Tanque 9L de água,,加入9L蒸馏水,Branco,,白色,Refrigerador de Tubo Laser até 80w,,用于冷却小于80w的激光管,220v,,220V,8418.69.40,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Refrigeradores, congeladores (“freezers”) e outros materiais, máquinas e aparelhos para a produção de frio, com equipamento elétrico ou outro; bombas de calor, exceto as máquinas e aparelhos de arcondicionado da posição 8415 - Outros materiais, máquinas e aparelhos, para produção de frio; bombas de calor: - Outros - Grupos frigoríficos de compressão para refrigeração ou para ar condicionado, com capacidade inferior ou igual a 30000 frigorias/hora",Papelão,,
Peças,,配件,Refrigerador,,制冷机,Chiller S&A CW-5000,,特域CW500,Trabalha de 15-35°	,,用于制冷剂降温,Capacidade do Tanque 6L de água	,,加入6L蒸馏水,Branco,,白色,Refrigerador de Tubo Laser até 120w	,,用于冷却小于120W的激光管,220v,,220V,8418.69.40,"Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes - Refrigeradores, congeladores (“freezers”) e outros materiais, máquinas e aparelhos para a produção de frio, com equipamento elétrico ou outro; bombas de calor, exceto as máquinas e aparelhos de arcondicionado da posição 8415 - Outros materiais, máquinas e aparelhos, para produção de frio; bombas de calor: - Outros - Grupos frigoríficos de compressão para refrigeração ou para ar condicionado, com capacidade inferior ou igual a 30000 frigorias/hora	",Papelão,,
